Month-Year,SE,ANOM,SST,,year,sst_yr,sst_se_yr,sst_anom_yr,,year,sst_summer,sst_se_summer,sst_anom_summer,,year,sst_winter,sst_se_winter,sst_anom_winter
Jun-84,0.409399996,-0.313266662,12.41313306,,2011,10.99219298,0.223576916,1.323638726,,2011,17.1055589,0.227448383,1.70469621,,2011,5.447288506,0.222913015,0.589340426
Jul-84,0.331290319,0.183161285,16.47580618,,2012,11.96235453,0.22124022,2.293327608,,2012,17.93337502,0.223693007,2.532148887,,2012,6.922474861,0.214491098,2.063342571
Aug-84,0.267935479,0.872193539,18.10645141,,2013,11.07378336,0.226292136,1.403856443,,2013,16.83990191,0.228527415,1.438912343,,2013,6.726549995,0.23213018,1.864726357
Sep-84,0.267066663,-0.45266666,14.89833306,,2014,10.46734895,0.221046732,0.798697398,,2014,16.65201483,0.215088706,1.250970405,,2014,4.778008572,0.223804719,-0.07999539
Oct-84,0.290064513,0.362516123,12.58877389,,2015,10.63300419,0.226068058,0.964370758,,2015,16.9756707,0.227529028,1.574646749,,2015,5.280608202,0.230482138,0.422910704
Nov-84,0.28573333,0.975199983,10.42739979,,2016,11.38619431,0.220798877,1.717251159,,2016,17.49960083,0.222204297,2.098491366,,2016,6.465715136,0.221334812,1.606816436
Dec-84,0.358903221,1.401806429,8.538064346,,2017,10.82191881,0.22580431,1.152016046,,2017,16.37178902,0.227528491,0.97093063,,2017,6.377217046,0.220839282,1.515400317
Jan-85,0.278064511,1.259870945,6.342257974,,2018,11.08895158,0.228199036,1.420274045,,2018,18.06682878,0.229362362,2.665779533,,2018,5.406014892,0.229101954,0.547921651
Feb-85,0.277071425,0.844642844,4.578857071,,,,,,,,,,,,,,,
Mar-85,0.242516125,1.089935461,4.569225746,,,,,,,,,,,,,,,
Apr-85,0.239199996,0.365266659,5.309266585,,,,,,,,,,,,,,,
May-85,0.305806447,-0.052580644,8.312451467,,,,,,,,,,,,,,,
Jun-85,0.274599997,-1.020466651,11.70573308,,,,,,,,,,,,,,,
Jul-85,0.257032254,-1.131032236,15.16103199,,,,,,,,,,,,,,,
Aug-85,0.247741931,-0.134774193,17.0998708,,,,,,,,,,,,,,,
Sep-85,0.244799996,-0.051333331,15.3001997,,,,,,,,,,,,,,,
Oct-85,0.250516126,0.54703225,12.77341911,,,,,,,,,,,,,,,
Nov-85,0.319133329,0.618933325,10.07159985,,,,,,,,,,,,,,,
Dec-85,0.256580642,0.19045161,7.326645037,,,,,,,,,,,,,,,
Jan-86,0.26109677,0.017225804,5.102903143,,,,,,,,,,,,,,,
Feb-86,0.280071423,0.221499997,3.967285654,,,,,,,,,,,,,,,
Mar-86,0.245548384,-0.169161286,3.309419314,,,,,,,,,,,,,,,
Apr-86,0.264866661,0.805999987,5.750133259,,,,,,,,,,,,,,,
May-86,0.311161285,0.480129026,8.84574175,,,,,,,,,,,,,,,
Jun-86,0.25893333,-0.946599984,11.7793997,,,,,,,,,,,,,,,
Jul-86,0.259741931,-0.525096767,15.767032,,,,,,,,,,,,,,,
Aug-86,0.260451609,-0.283032254,16.95167722,,,,,,,,,,,,,,,
Sep-86,0.237466663,-1.36913331,13.98259968,,,,,,,,,,,,,,,
Oct-86,0.247161287,-0.227032254,11.99896742,,,,,,,,,,,,,,,
Nov-86,0.260266663,-0.282333329,9.170199743,,,,,,,,,,,,,,,
Dec-86,0.248193544,0.053677417,7.18954831,,,,,,,,,,,,,,,
Jan-87,0.237806448,0.374451608,5.459806381,,,,,,,,,,,,,,,
Feb-87,0.221999997,0.32814285,4.074428496,,,,,,,,,,,,,,,
Mar-87,0.295677414,0.34141935,3.820258006,,,,,,,,,,,,,,,
Apr-87,0.32986666,-0.394533328,4.548266601,,,,,,,,,,,,,,,
